Time,memory
Fri Apr 16 2021 03:00:00 GMT-0400 (Eastern Daylight Time),0.9795
Fri Apr 16 2021 03:05:00 GMT-0400 (Eastern Daylight Time),0.99975
Fri Apr 16 2021 03:10:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 03:15:00 GMT-0400 (Eastern Daylight Time),0.9995
Fri Apr 16 2021 03:20:00 GMT-0400 (Eastern Daylight Time),0.6295000000000001
Fri Apr 16 2021 03:25:00 GMT-0400 (Eastern Daylight Time),0.7595000000000001
Fri Apr 16 2021 03:30:00 GMT-0400 (Eastern Daylight Time),0.8995000000000001
Fri Apr 16 2021 03:35:00 GMT-0400 (Eastern Daylight Time),0.949875
Fri Apr 16 2021 03:40:00 GMT-0400 (Eastern Daylight Time),0.9595
Fri Apr 16 2021 03:45:00 GMT-0400 (Eastern Daylight Time),0.9698749999999999
Fri Apr 16 2021 03:50:00 GMT-0400 (Eastern Daylight Time),0.98975
Fri Apr 16 2021 03:55:00 GMT-0400 (Eastern Daylight Time),0.99975
Fri Apr 16 2021 04:00:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 04:05:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 04:10:00 GMT-0400 (Eastern Daylight Time),0.5495000000000001
Fri Apr 16 2021 04:15:00 GMT-0400 (Eastern Daylight Time),0.7095
Fri Apr 16 2021 04:20:00 GMT-0400 (Eastern Daylight Time),0.8695
Fri Apr 16 2021 04:25:00 GMT-0400 (Eastern Daylight Time),0.9498333333333334
Fri Apr 16 2021 04:30:00 GMT-0400 (Eastern Daylight Time),0.95975
Fri Apr 16 2021 04:35:00 GMT-0400 (Eastern Daylight Time),0.9698333333333333
Fri Apr 16 2021 04:40:00 GMT-0400 (Eastern Daylight Time),0.9995
Fri Apr 16 2021 04:45:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 04:50:00 GMT-0400 (Eastern Daylight Time),0.9999
Fri Apr 16 2021 04:55:00 GMT-0400 (Eastern Daylight Time),0.9998333333333334
Fri Apr 16 2021 05:00:00 GMT-0400 (Eastern Daylight Time),0.6095
Fri Apr 16 2021 05:05:00 GMT-0400 (Eastern Daylight Time),0.7295
Fri Apr 16 2021 05:10:00 GMT-0400 (Eastern Daylight Time),0.8495
Fri Apr 16 2021 05:15:00 GMT-0400 (Eastern Daylight Time),0.9498333333333334
Fri Apr 16 2021 05:20:00 GMT-0400 (Eastern Daylight Time),0.9599
